timestamp,open,volume,high,low,close
2026-01-11 07:56:04.028274,10099.326003386734,7678,10109.075773088416,10089.422644033306,10099.610084593884
2026-01-11 08:01:04.028274,10199.204816358388,5555,10205.952780635702,10194.844333901476,10196.949477906599
2026-01-11 08:06:04.028274,10298.957597234426,4240,10301.285952088054,10290.947479654791,10300.621047480141
2026-01-11 08:11:04.028274,10398.364490693268,6321,10403.3016036155,10390.640888589971,10397.54757784234
2026-01-11 08:16:04.028274,10496.729376199823,1092,10502.373635646945,10489.950572579184,10495.444174229882
2026-01-11 08:21:04.028274,10596.711565171381,5068,10601.240006516533,10596.201693018565,10594.264252764067
2026-01-11 08:26:04.028274,10696.339552041285,5926,10703.51554033694,10692.412625588953,10698.879961455406
2026-01-11 08:31:04.028274,10794.370375426326,4485,10799.815434282405,10786.116506008431,10795.097563230702
2026-01-11 08:36:04.028274,10893.87862298757,3343,10895.50059120702,10887.9117928848,10894.68403389597
2026-01-11 08:41:04.028274,10991.60933057383,9361,11001.156255964906,10983.16805115494,10987.393940991495
2026-01-11 08:46:04.028274,11091.059437466614,4286,11096.255525554398,11087.567244133446,11096.342348718767
2026-01-11 08:51:04.028274,11191.602762026421,3055,11200.816435611874,11189.764463818325,11192.01755462135
2026-01-11 08:56:04.028274,11291.950062658118,8962,11297.13439464351,11284.704320538553,11287.650722674174
2026-01-11 09:01:04.028274,11392.238603386917,9893,11401.172337178983,11383.73808928897,11393.069231678142
2026-01-11 09:06:04.028274,11490.64817398251,9804,11490.677714838634,11482.730909998918,11488.07518683586
2026-01-11 09:11:04.028274,11588.589899554674,9436,11592.724000676457,11588.196409179844,11591.19918967873
2026-01-11 09:16:04.028274,11687.550726785275,9542,11696.485941227158,11678.045588183195,11687.09571803444
2026-01-11 09:21:04.028274,11788.040863363167,4310,11795.203098399388,11783.77517216685,11788.190327246566
2026-01-11 09:26:04.028274,11888.672805315495,2317,11888.894435198572,11879.779402820834,11889.919935140273
2026-01-11 09:31:04.028274,11987.375725741791,1092,11987.91457917688,11979.468233557633,11988.3848441656
2026-01-11 09:36:04.028274,12087.131802456643,6221,12091.582555013745,12081.711507887569,12086.69969723304
2026-01-11 09:41:04.028274,12188.720249300088,6397,12191.101117227649,12188.034862881083,12189.212907970395
2026-01-11 09:46:04.028274,12289.389469182604,8188,12298.862261209184,12288.001275808065,12287.581870338023
2026-01-11 09:51:04.028274,12389.06873923326,6964,12389.300216839823,12382.485036908593,12387.416081971573
2026-01-11 09:56:04.028274,12487.537868171428,3174,12490.654379556903,12480.423313281093,12486.174699132669
2026-01-11 10:01:04.028274,12586.348611573285,7996,12587.253774428316,12584.79083812983,12581.236071496452
2026-01-11 10:06:04.028274,12686.607265243008,4907,12692.782240034212,12677.47831115862,12687.459940276647
2026-01-11 10:11:04.028274,12785.5730240298,6834,12792.62590210832,12777.33824595664,12786.49785679036
2026-01-11 10:16:04.028274,12886.474552791722,2423,12894.895420527906,12885.18377575997,12883.394717460675
2026-01-11 10:21:04.028274,12984.695416442568,3137,12989.99050697844,12981.282665007398,12984.855732430144
2026-01-11 10:26:04.028274,13086.212945639263,5071,13093.14129742691,13085.539041241285,13085.240490309312
