,open,high,low,close,volume
2024-02-07 00:42:24.919922+05:30,9925.460676028577,10024.715282788862,9826.206069268292,9947.417506469836,381835
2024-02-08 00:42:24.919922+05:30,9932.371451304645,10031.695165817691,9833.0477367916,9986.208755292892,351811
2024-02-09 00:42:24.919922+05:30,10014.980145750606,10115.129947208112,9914.8303442931,10095.903902547101,333116
2024-02-12 00:42:24.919922+05:30,9867.408735799183,9966.082823157174,9768.734648441192,9774.627255571639,992061
2024-02-13 00:42:24.919922+05:30,9886.155049061053,9985.016599551664,9787.293498570443,9833.510472061756,855529
2024-02-14 00:42:24.919922+05:30,10105.263973560981,10206.31661329659,10004.211333825371,10081.128713725271,434348
2024-02-15 00:42:24.919922+05:30,10238.847031282108,10341.235501594929,10136.458560969288,10244.16187302102,855492
2024-02-16 00:42:24.919922+05:30,9960.380825465005,10059.984633719654,9860.777017210356,10016.606594195731,959422
2024-02-19 00:42:24.919922+05:30,9832.751806861168,9931.07932492978,9734.424288792556,9795.424399945934,561164
2024-02-20 00:42:24.919922+05:30,9784.070778661257,9881.911486447869,9686.230070874644,9769.050706196243,154008
2024-02-21 00:42:24.919922+05:30,9763.238588342903,9860.870974226333,9665.606202459474,9717.751366346136,436660
2024-02-22 00:42:24.919922+05:30,9871.122190199985,9969.833412101985,9772.410968297985,9956.27002044927,313651
2024-02-23 00:42:24.919922+05:30,9865.384388329156,9964.038232212448,9766.730544445863,9800.598469862505,296582
2024-02-26 00:42:24.919922+05:30,9974.69562617864,10074.442582440426,9874.948669916854,9877.708563034894,207630
2024-02-27 00:42:24.919922+05:30,9795.32927215274,9893.282564874267,9697.375979431212,9750.94260040571,818726
2024-02-28 00:42:24.919922+05:30,9808.85115527701,9906.939666829781,9710.76264372424,9710.409619777796,411294
2024-02-29 00:42:24.919922+05:30,9786.614891160889,9884.481040072498,9688.74874224928,9759.939328478726,905972
2024-03-01 00:42:24.919922+05:30,9831.971016320827,9930.290726484036,9733.651306157619,9782.201865596904,164541
2024-03-04 00:42:24.919922+05:30,9752.24478473671,9849.767232584076,9654.722336889343,9750.709932315944,845598
2024-03-05 00:42:24.919922+05:30,9700.57354828492,9797.579283767769,9603.56781280207,9676.561894706825,513510
2024-03-06 00:42:24.919922+05:30,9711.759342908501,9808.876936337587,9614.641749479415,9610.780530779703,186726
2024-03-07 00:42:24.919922+05:30,9678.076580245579,9774.857346048035,9581.295814443123,9695.46452169644,987033
2024-03-08 00:42:24.919922+05:30,9807.54284602211,9905.61827448233,9709.46741756189,9777.86223039245,329099
2024-03-11 00:42:24.919922+05:30,9912.987109525924,10012.116980621184,9813.857238430664,9900.582907993212,356458
2024-03-12 00:42:24.919922+05:30,9883.936538732572,9982.775904119899,9785.097173345246,9875.531643206286,904660
2024-03-13 00:42:24.919922+05:30,9996.448365545242,10096.412849200695,9896.48388188979,10031.881481833072,138216
2024-03-14 00:42:24.919922+05:30,9929.286344092468,10028.579207533394,9829.993480651543,9926.853830856306,667847
2024-03-15 00:42:24.919922+05:30,10098.603502572212,10199.589537597934,9997.61746754649,10044.644140267843,553843
2024-03-18 00:42:24.919922+05:30,10110.590440278354,10211.696344681139,10009.48453587557,10113.130589903289,891510
2024-03-19 00:42:24.919922+05:30,10245.428764658922,10347.883052305511,10142.974477012332,10256.6237749504,987384
2024-03-20 00:42:24.919922+05:30,10363.705657692894,10467.342714269822,10260.068601115965,10351.648239728773,360228
2024-03-21 00:42:24.919922+05:30,10303.589071788048,10406.624962505928,10200.553181070169,10413.392410147988,656239
2024-03-22 00:42:24.919922+05:30,10185.107183663622,10286.958255500258,10083.256111826986,10145.109294219255,873869
2024-03-25 00:42:24.919922+05:30,10244.142392395284,10346.583816319237,10141.700968471332,10286.745491860873,535726
